description,category
Target Misc Supplies Small Equipment,Shopping
ADS CAMPAIN AT SPONSORSHIP PLATFORM BANK CARD,Marketing
replacement parts quick run inv 958136,Shopping
Jan Entry Airport Manual Ride,Transportation
printer supplier pens and pencils staff supplies,Office Supplies
ADVISOR PURCHASE ADVISOR COMPLIANCE CARD FEE AT,Professional Services
online payment for monthly retanier income oct,Income
COMPLIANCE AT PURCHASE CARD ATLAS REVIEW SYSTEMS,Professional Services
POS SUBSCRIPTION FOR APR REVENUE,Income
subscription REDWOOD MARKET paid promotion,Marketing
lighthouse up fill gas solutions downtown,Transportation
Exxon bus - card - G6IAQ pass,Transportation
pos charge wait during cafe airport,Food & Dining
metro mediaa co audience test social ads,Marketing
Email Mailchimp At Purchase Card Marketing,Marketing
content marketing launcch promo txn O9FCFV,Marketing
COMPLIANCE ADVISOR CONSULTING FEE SUPPORT CONTRACT,Professional Services
business center - commercial space - ref 920134,Rent
parking garage refund commute client apr,Transportation
internet service at gas company card purchase,Utilities
Trash Service - Phonne Plan - Ref 292609,Utilities
RENTAL BUSINESS TRAVEL INVOIC CAR DESK,Transportation
TRANSFER IKEA MISC SUPPLIES,Shopping
bank card for office snacks mar,Food & Dining
Microsoft productivity seat renewal app 365,Software
IT support legal consultation monthly retainer,Professional Services
innvoice for toll paymt dec,Transportation
cloud bill at ATLAS PARTNERS recurring,Software
evergreen transfer systems car jun rental,Transportation
soid oak group lead generation apr card purchase,Marketing
ONLINE PAYMENT IKEA RETAIL PURCHASE,Shopping
card feb lunch for purchase team,Food & Dining
local store refund for office setup,Shopping
transfer to toll accunt,Transportation
oct retail purchase ach,Shopping
Fiber Internet Service Period Provider Service,Utilities
REVENUE DEPOSIT PRODUCT SALE FROM BRIGHTLINE MARKET,Income
Supply Cabinet Cleaning Supplies From Staples,Office Supplies
office rent at metro services invoice,Rent
marketplace seller mobile pay client materials,Shopping
Metro charge Systems subscription suite,Rent
POS Walmart furniture,Shopping
consulting income at NORTHSTAR SYSTEMS ACH,Income
invoice for flyer printing sep,Marketing
recurring for facility rent nov,Rent
rent ACH facility at payment storage,Rent
phone plan automatic debit auth FB8U3C5A,Utilities
soial media ads launch promo txn 636020,Marketing
jan snacks office ACH,Food & Dining
POS evergreen co SaaS renewal,Software
Subscription For Mo Retainer Income May,Income
Quickbooks Developer Tool Team Upgrade,Software
TEAM LUNCH LATE MEETING TXN 756074,Food & Dining
property manager invoice monthly payment,Rent
brand design at EVERGREEN SOLUTIONS POS,Marketing
Settlement Batch Deposit Received From Customer,Income
card kiosk at station purchase,Transportation
eBay - online order - txn 289319,Shopping
online payment mnthly service bill,Utilities
Subscription Brightline Market Taxi Ride,Transportation
Transfer Etsy Misc Supplies,Shopping
quick from seller furniture marketplace run,Shopping
oct office lease invoice,Rent
dec bulk order inv,Shopping
trade show PPC campaign retargeting,Marketing
KITCHEN SUPPLY STORE PENS AND PENCILS FEB BANK CARD,Office Supplies
marketplace seller - replacement parts - inv 253603,Shopping
mboile pay sale apr product for,Income
gas utility charge at broadband provider invoice,Utilities
Transfer Summit Group Paid Promotion,Marketing
refreshments during travel day order 3275558,Food & Dining
bulk order at eBay refund,Shopping
clearview co invoice client vissit,Transportation
invoice for consulting fee mar,Professional Services
invoice power service phone plan,Utilities
Seo Agency Email Marketing Campaign Invoice,Marketing
Northhstar Services Payment Bank April Card,Rent
coworking rent lease invoice txn AUMHAQ,Rent
STORE PICKUP ENTRY SYSTEMS AT MANUAL BRIGHTLINE,Shopping
Cobalt Llc brand design monthhly ad spend,Marketing
fiber provider refund account payment,Utilities
Transfer To Legal Consutlant,Professional Services
feb working lunch pos,Food & Dining
refund for service charge oct,Utilities
Software Subscription At Harbor Hub Card Purchase,Software
pens and pencils supply cabinet card 107183,Office Supplies
Sep Bank Team Lunch Card,Food & Dining
Vercel ACH team upgrade,Software
small equipment online order from Etsy,Shopping
cloud usage SaaS renewal from Microsoft 365,Software
refund Uber client commute,Transportation
Shell trave invoice business,Transportation
CONSULTING FEE EXPERT REVIEW REF QFTSG,Professional Services
sep bill invoice cloud,Software
suite charge payment from Redwood Co rent,Rent
bulk order at Home Depot recurring,Shopping
Jun Manual Entry Purchase Retail,Shopping
electric period gas utility charge company service,Utilities
catering company breakfast meeting nov online payment,Food & Dining
invoice for trash pickup mar,Utilities
email marketing sponsored post ref 947744,Marketing
transfer post for sponsred,Marketing
LOCAL CAFE WORKING LUNCH OCT CARD PURCHASE,Food & Dining
ink room printer 901634 auth cartridges,Office Supplies
storage facility storage unit rent dec manual entry,Rent
Faceebook Card Post Ads Sponsored Bank,Marketing
office space ACH rental landlord,Rent
Financial Advisor Advisor Fee Jun Card Purchase,Professional Services
launch promo barnd design from silverline solutions,Marketing
refuund retainer client product sale,Income
campaign invoice content marketing from riverstone group,Marketing
audience campgn systems PPC lighthouse from test,Marketing
BULK ORDER AT ATLAS MARKET CARD PURCHASE,Shopping
EVERGREEN CO ONLINE PMT TO MEETING,Transportation
LIGHTHOUSE entry monthly lease HUB manual apr,Rent
campaign invoice content marketing from sponsorship platform,Marketing
design tool team upgrade batch 400292,Software
refund ink warehouse cleaning supplies,Office Supplies
support contract advisor fee from clearview services,Professional Services
sponsorship platform lead generation monthly ad spend,Marketing
emaiil at paymt online marketing meta,Marketing
Summit Systems online payment cloud usage,Software
ACCOUNTING SERVIES AT METRO LLC MOBILE PAY,Professional Services
parking 48912 card downtown fee,Transportation
service group at clearview revenue POS,Income
stationery shop toner refill jan card purchase,Office Supplies
checkout run inv quick 78101,Shopping
office landlord - commercial spacee - order 247266,Rent
silverline co bank card quick run,Shopping
oct furniture refund,Shopping
office lease april paymt,Rent
printer ink and paper,Office Supplies
Jun Bus Payment Online Pass,Transportation
SUMMIT SOLUTIONS - facility rent - ref SD2GNI,Rent
jan transfer and pens pencils,Office Supplies
Desk Store Recurring Front Desk,Office Supplies
pens and supply cabinet 9PSH pencils inv,Office Supplies
may email marketing transferr,Marketing
metro station rental car oct bank card,Transportation
account payment broadband bill from sewr utility,Utilities
Staff Supplies Notebooks From Furniture Outlet,Office Supplies
shell gas fill up apr bank card,Transportation
Linkedn Ads subs retargeting,Marketing
business consultant legal consultation nov ACH,Professional Services
subscription stripe pay at mobile payout revenue,Income
bank card for brand design may,Marketing
online cloud for bill dec payent,Software
SOLID OAK CO - compliance review - card Q7SWPMU,Professional Services
Partner - - 240132 Card Monthly Income Retainer,Income
NORTHSTAR HUB BANK CARD QUICK RUN,Shopping
gas company - water bill - txn 239609,Utilities
Design Invoice At Hr Consultant Invoice,Professional Services
toll payment late pickup txn 762560,Transportation
Exxon Pos To Meeting,Transportation
Silverline Market feb card purchase earned commission,Income
Inv Lighthouse Market Payroll Service,Professional Services
Etsy manual entry stock up,Shopping
Lyft - - order train QS1BHLF ticket,Transportation
dec deposit received subs,Income
Pos For Ink Cartridges Apr,Office Supplies
mobile pay for email marketing oct,Marketing
card purchase for milestone sep payment project,Income
printer supplier - office chairs - batch 82q6qb,Office Supplies
REFUND BAKERY OFFICE SNACKS,Food & Dining
riverstone group social mediaa ads retargeting,Marketing
refund catering company working lunch,Food & Dining
Affiliate Network - Consulting Income - Inv Lo0Zx,Income
etsy - electronics 253422 inv -,Shopping
AIRPORT PARKING - TAXI RIDE - AUTH 239963,Transportation
Metro Market Client Dinner After Sales Call,Food & Dining
accounting services client project inv QPAFV,Professional Services
customer manual entry incoming transfer,Income
Invice Shell Train Ticket,Transportation
summit solutions bus pass feb recurring,Transportation
grabbed client coffee for meeting,Food & Dining
sewer utility phone plan metered usaage,Utilities
Office Rent At Hrabor Group Subs,Rent
phone plan automatic debit txn 1VUTP,Utilities
feb commercial space refund,Rent
notebooks cleaning purchase card suppler at,Office Supplies
online pmt for email marketing dec,Marketing
FREELANCE FEE TXN - DESIGNER - 617084 ADVISOR,Professional Services
riverstone solutions legal consultation client project,Professional Services
transfer pencils pens may for and,Office Supplies
printer supplier desk accessories dec transfer,Office Supplies
Office May Desk Accessories Depot Recurring,Office Supplies
sep client commute manual entry,Transportation
metro market - product sale - batch fmdf,Income
mobile pay for monitor stand apr,Office Supplies
recurring clearrview partners facility rent,Rent
nov service revenue subscription,Income
FEB ACH LEAD GENERRATION,Marketing
EMAIL MARKETING AT GOOGLE ADS BANK CARD,Marketing
monthly aws clud bill,Software
invoice Metro Co office rent,Rent
gas company phone plan automatic debit,Utilities
trash at PARTNERS pickup refund CLEARVIEW,Utilities
harbor solutions ach sponsored post,Marketing
Summit 899632 - team lunch order Group -,Food & Dining
for team order meeting bakery catering from,Food & Dining
invoice account property from,Rent
equippment supplier - ink cartridges - order 670615,Office Supplies
mobile pay sponsorship platform PPC campaign,Marketing
Costco bank card misc supplies jan,Shopping
Office Depot - Cleaning Supplies - Card 6Sf1F,Office Supplies
Payroll Service Professional Fee Txn 430195,Professional Services
Exxon train ticket downtown,Transportation
seweer utility - broadband bill - txn 144576,Utilities
IT support design invoice expert review,Professional Services
rental property bank card monthly pmt,Rent
monthly trash service office bill pickup from power,Utilities
NORTHSTAR SYSTEMS OFFICE LEASE SEP MANUAL ENTRY,Rent
front desk desk accessories from stationery shop,Office Supplies
printer and paper ink,Office Supplies
HR consultant manual entry support contract,Professional Services
Manual Entry Commercial For May Space,Rent
desk store cleaing supplies dec invoice,Office Supplies
office lease monthly payment auth 3884682,Rent
Online Pyamt Monthly Service Bill,Utilities
sub advisor review compliance compliance,Professional Services
refund ink SYSTEMS cartridges HARBOR,Office Supplies
train station train ticket jun transfer,Transportation
electronics at Solid Oak Hub recurring,Shopping
parking spce owner - office rent - auth WOO0,Rent
freelance designer tax preparation may card purchase,Professional Services
POS solid oak services monthly lease,Rent
Consulting Project Fee 280986 Txn Clien,Professional Services
Summit Team Subscription Services Upgrade,Software
card purchase for tax preparation dec,Professional Services
mobile sep for legal pay consultation,Professional Services
mar breakfast meeting invoice,Food & Dining
gas Shell online up paymt fill at,Transportation
slack online payment cloud usage,Software
ink warehouse monitor stand supply cabinet,Office Supplies
late meeting cliennt dinner from local cafe,Food & Dining
law firm - tax preparation - inv AO8Y0H5,Professional Services
property manager monthly lease suite charge,Rent
monthly plan software subscription from lghthouse services,Software
Seo Agency Subscription Camapign Inv,Marketing
Partner Commission Earned May Recurring,Income
bank GROUP ads SUMMIT card campaign,Marketing
online order txn sock XTNS up,Shopping
